country,date,infections,infections_new,infections_new_normed,deaths,deaths_new,deaths_per_infection,deaths_per_infection_new,datetime
Honduras, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Hungary, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Iceland, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
India, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Indonesia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Iran, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Iraq, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Ireland, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Israel, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Italy, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Jamaica, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Japan, 1/22/2020,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2020-01-22
Jordan, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Kazakhstan, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Kenya, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
"Korea, South", 1/22/2020,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2020-01-22
Kosovo, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Kuwait, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Kyrgyzstan, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Laos, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Latvia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Lebanon, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Liberia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Libya, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Liechtenstein, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Lithuania, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Luxembourg, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Madagascar, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Malaysia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Maldives, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Mali, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Malta, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Mauritania, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Mauritius, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Mexico, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
