Row Labels, 1/22/2020, 1/23/2020, 1/24/2020, 1/25/2020, 1/26/2020, 1/27/2020, 1/28/2020, 1/29/2020, 1/30/2020, 1/31/2020, 2/1/2020, 2/2/2020, 2/3/2020, 2/4/2020, 2/5/2020, 2/6/2020, 2/7/2020, 2/8/2020, 2/9/2020, 2/10/2020, 2/11/2020, 2/12/2020, 2/13/2020, 2/14/2020, 2/15/2020, 2/16/2020, 2/17/2020, 2/18/2020, 2/19/2020, 2/20/2020, 2/21/2020, 2/22/2020, 2/23/2020, 2/24/2020, 2/25/2020, 2/26/2020, 2/27/2020, 2/28/2020, 2/29/2020, 3/1/2020, 3/2/2020, 3/3/2020, 3/4/2020, 3/5/2020, 3/6/2020, 3/7/2020, 3/8/2020, 3/9/2020, 3/10/2020, 3/11/2020, 3/12/2020, 3/13/2020, 3/14/2020, 3/15/2020, 3/16/2020, 3/17/2020, 3/18/2020, 3/19/2020, 3/20/2020, 3/21/2020, 3/22/2020, 3/23/2020, 3/24/2020, 3/25/2020, 3/26/2020, 3/27/2020, 3/28/2020, 3/29/2020, 3/30/2020, 3/31/2020, 4/1/2020, 4/2/2020, 4/3/2020, 4/4/2020, 4/5/2020, 4/6/2020,country,continent
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,1,1,1.2,2.4,3,2.6,2.6,2.4,2,1.8,3,3,3.2,2,4,3.6,3.8,4.4,Barbados,North America
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,0,0.6,0.6,1.2,4.2,4.2,3.6,5.4,4.8,4.8,4.8,8.4,8,8,6,6,3.4,2,3.6,2.6,2.6,13.2,13.2,13.8,42,51.4,57.6,82,Belarus,Europe
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.4,2.4,4.4,9.8,21.4,32.2,37.4,43.2,43.4,41,29,71.8,90,123.8,148.8,185.8,185.4,221.2,274.2,351.4,431.6,451.4,494.8,536,684,776.6,1078.2,1313.4,1392.4,1308,1336,1242.8,1186.8,1306.4,1383.2,Belgium,Europe
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.4,Belize,North America
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.6,0.8,0.8,0.8,0.8,0.2,0,0,0.6,1.4,1.4,2,2,2.6,Benin,Africa
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0.2,0.2,0.4,0.4,0.4,0.2,0.4,0.2,0.2,0.2,Bhutan,Asia
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.6,2,2,1.8,1.8,1.8,0.4,1,1.6,2.6,3,3.4,3.4,4.8,7.4,9.4,10.4,13,12.8,10.8,9.8,10.2,8.4,10,Bolivia,South America
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.6,0.6,0.6,0.6,1,1.6,2,3,3.8,3.6,3,5,9,13,13.6,20,19.6,20.6,17.4,19.6,22.2,24.4,31.4,38.4,45.8,44.4,55,51.2,51.2,46.8,Bosnia and Herzegovina,Europe
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.4,0.2,0.2,0.6,0.4,2.2,2.2,3.6,4.2,5.4,5,7.8,26.2,25.2,26.2,32.4,53.8,44.2,94,126.2,164.2,245,310.4,325.2,352.2,392.8,374.2,396,401.8,405,546.4,683.8,828,960,1156.2,1082.6,Brazil,South America
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,2.2,2.2,7.4,7.8,9.8,8.6,9,6.2,7,5.6,5.8,6.4,4.6,5.8,6.2,6.2,5.4,5.8,4.4,3.6,3,3.2,2.6,1.6,1.6,1.2,Brunei,Asia
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,1.4,1.4,3.8,7.4,9.4,9,12,13.8,10.6,15.2,22.2,24,21.8,24.8,23,20.2,21.2,26,25.6,23.4,27,25.8,25.2,27.8,28.8,26.4,Bulgaria,Europe
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.4,0.4,0.4,0.4,2.6,2.6,3.6,6.2,7.4,9.8,12,15.8,16.2,21.2,17.6,21,21.6,21.6,20,21.8,20.4,16.2,16,14.4,16.8,Burkina Faso,Africa
Burma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.6,2,2.8,3,1.4,2.4,2,1.4,1.2,Burma,Asia
